locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMOp36x001		perfect	0.292439908604282	3.87317152054776e-20	2.04579124037244e-20	0.637573092657039	1.15956901929989e-11	1.2316578916385e-09	0.874533142065871	0.253526571111882	0.000316671654607302
ZMO1_ZMOp36x002		perfect	0.84872969151592	1.11140902025567e-12	4.8551138811487e-12	0.244786134939275	1.37094714360054e-16	1.83227111120176e-23	0.991733199690971	0.00528164395664836	8.80182148396003e-08
ZMO1_ZMOp36x003		perfect	0.234257441544278	6.3115116218867e-12	1.28109285803877e-20	0.0352268907349754	1.38096073293269e-24	5.28527979142115e-35	0.951593495230814	4.13803783450562e-05	4.63732711916739e-12
ZMO1_ZMOp36x004		perfect	0.290612164154536	1.00137971192122e-10	6.72690526272701e-14	0.514838165082028	1.07920191876489e-18	2.37737240025704e-27	0.637210513884071	0.00274563575228678	9.30866737970579e-09
ZMO1_ZMOp36x005		perfect	0.71561512805366	1.60996125838391e-15	6.42741533393944e-23	0.439277494747351	1.63316732765342e-21	1.82542638934883e-30	0.580249256759824	0.0410190561382881	0.0102934211028579
ZMO1_ZMOp36x006		perfect	0.213297608532096	1.26599725063703e-15	2.90401996483304e-10	0.0430142491926691	1.25862407356915e-20	1.78888495420652e-21	0.611794606399871	0.00985163285561607	6.88217921215511e-06
ZMO1_ZMOp36x007		perfect	0.695565606680639	1.95916934651573e-08	7.2988382048822e-12	0.721742028686311	4.4560628731357e-14	6.46466684265335e-10	0.861367763832177	0.00167919449615963	1.96533423353193e-07
ZMO1_ZMOp36x008		perfect	1.08404454153211e-07	2.54239851901106e-41	4.24987516361408e-48	2.03879704255929e-07	1.96964625410538e-46	8.3435488667911e-57	0.747669105925757	3.20915281454752e-05	1.15941360883822e-12
ZMO1_ZMOp36x009		perfect	0.0498075185525338	8.2747903288676e-08	3.67931762173717e-10	0.389827650025293	1.48980280656938e-05	6.96194194791283e-07	0.235701439895231	0.686017959759734	0.418399322587199
ZMO1_ZMOp36x010		perfect	0.698267897505731	2.27738435098326e-09	4.06560331583772e-10	0.543306916837785	4.99528751906188e-22	1.72113883362901e-30	0.377080990163992	1.95548411215748e-09	1.28769843002609e-15
ZMO1_ZMOp36x011		perfect	0.0566193671266736	2.6739071855523e-30	6.14691875416222e-34	0.22394061029752	1.00322177375512e-32	3.54276433426951e-44	0.863109523088237	0.435388863925989	3.46949649087104e-05
ZMO1_ZMOp36x012		perfect	0.769167342202097	1.78289913527914e-13	2.79279060993448e-14	0.600677917197098	9.84044976569162e-20	1.12160898163277e-20	0.183550219709238	8.45032699394743e-07	3.25094629192752e-10
ZMO1_ZMOp36x013		perfect	0.583957123062733	8.56722195328909e-19	1.15433147924774e-16	0.0851251896709428	2.70729706549341e-33	2.85783773630969e-40	0.729967574230723	8.13678647392266e-05	3.5025861257744e-09
