locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMO0908	.	perfect	-0.0312682885500777	0.186927124993389	0.451045727650353	-0.0396298850421598	-0.693468721135316	-1.03134142925914	0.0529699301477611	0.965979910015554	1.54255428658518
ZMO1_ZMO0909	.	perfect	0.24464249254374	0.39373157136854	0.323869440307481	0.0443593713392983	-0.0661101105185149	-0.482332645173724	0.244096739356649	0.430838122122873	0.428092084182184
ZMO1_ZMO0910	.	perfect	0.0757307263765461	0.0102975432928185	0.171312158317047	-0.141525142415332	-0.858682995426852	-1.29434338432997	0.262900376032459	0.94784535372376	1.52929616232095
ZMO1_ZMO0911	.	perfect	0.276650213511766	0.450581317982454	0.586262062477777	-0.0428371122196837	-0.577642905368939	-0.928625926391371	0.457539781801422	1.17641049548655	1.62488080103774
ZMO1_ZMO0912	.	perfect	-0.0355186064735301	0.0377652453391123	-0.220329124534342	0.0354542502200141	0.102958723655753	0.00533385498198319	-0.0621915365641907	-0.147348875406475	-0.0484566362227385
ZMO1_ZMO0913	ilvE	perfect	-0.474891979398679	-1.49682171984599	-1.64014991555529	-0.21422577851806	-1.58055973646571	-2.39073718467358	-0.436564649916713	-0.163667283137357	0.517172670827024
ZMO1_ZMO0914	folD	perfect	-0.00399463533724422	0.0636945064524736	0.00914581494390027	0.0530840079878891	0.115767112399843	0.240366920537058	-0.0776214744153038	-0.132971859342337	-0.204953054660741
ZMO1_ZMO0915	copA	perfect	-0.0303736880845905	-0.0954893656198201	-0.372689291359396	0.028682750187507	-0.130051367108622	-0.30609971009864	-0.0871791940919478	0.01010179595628	-0.107134240945623
ZMO1_ZMO0916	.	perfect	-0.0387633632955272	0.00445166853430251	0.0486347966929669	-0.024556290740369	-0.0699543356044867	-0.0279758769573672	-0.0280909731075905	-0.0313503216060978	-0.0189660361718312
ZMO1_ZMO0917	.	perfect	-0.901754243989851	-5.26854295088727	-7.07395389446293	-1.60833770276878	-7.3471675093855	-9.52474649474467	0.82273733542273	2.14440083133076	2.37055308552962
ZMO1_ZMO0918	katE	perfect	-0.00702207861461629	0.0593060733824576	0.228702270592224	-0.0265253848639889	0.0467136616734919	0.210596725127478	-0.0659332578281764	-0.0871898681061269	-0.124453901132992
ZMO1_ZMO0919	.	perfect	-0.0351667548647762	0.00222824190854051	-0.0808368794624915	0.0512765736620283	0.0855764513554998	0.103063177995725	-0.203091066258187	-0.224703267716997	-0.261393866216725
ZMO1_ZMO0920	.	perfect	0.0121257240135433	-0.0394130836604762	0.0274851858470614	-0.0788209867866925	0.0134982523591064	0.0714159170639572	0.0169860247430106	-0.203229402055769	0.0586720099476071
ZMO1_ZMO0921	.	perfect	0.099429144794403	0.108259501125302	0.221329527352766	-0.0415168133161706	-0.0502798760952617	-0.0689703552921603	-0.0690667250714339	0.0479700058692616	0.167153524180226
ZMO1_ZMO0922	.	perfect	-0.0589519693411312	-0.111669284190507	-0.214801641102964	-0.0138375301030108	0.0158688125762145	-0.0435660010404319	-0.153027250667207	-0.167055740421493	-0.0938172668454263
ZMO1_ZMO0923	argJ	perfect	-1.11597262727664	-2.87197019369834	-3.16822591971305	-1.04159459712526	-4.60877418041027	-6.41646155514269	-0.0687590347557825	1.76870338095989	3.35886025439868
ZMO1_ZMO0924	secA	perfect	-1.48604662064553	-5.55569223520176	-7.00476038633749	-1.39786993466901	-6.32481188683573	-9.8219489682411	0.033870226355473	1.21496508724663	2.45453532372894
ZMO1_ZMO0925	.	perfect	-0.00211939389896056	0.00015883705958708	0.176774880435505	-0.0213436513609853	-0.00360102095234235	0.144036222593448	-0.101052281809786	-0.0834173777703265	-0.0577535086638633
ZMO1_ZMO0926	mlaD	perfect	0.0538068080286345	0.0422982100999206	0.134132848218649	0.0155007842132032	-0.115356632555201	-0.0430916873461713	-0.0424042516352461	0.106977914246772	0.109448410215365
ZMO1_ZMO0927	aat	perfect	0.0139436631195633	-0.119755870681691	-0.229307562310434	0.00959498741870281	0.0233488559836936	-0.0878514035085493	-0.103114215268811	-0.167735965735516	-0.212445046917673
ZMO1_ZMO0928	.	perfect	-0.0636893718096836	0.102396862465622	0.32449952719619	0.0402742702129659	0.248523813850402	0.447524533482081	-0.104943459217453	-0.109115245170124	-0.18347844607444
ZMO1_ZMO0929	.	perfect	-0.0370567730427671	0.12197390083465	-0.265894680864498	0.027351372826122	-0.00725060370309122	0.155664317554965	-0.169899089843677	-0.10196166979331	-0.36850581282697
ZMO1_ZMO0930	.	perfect	-0.0691878410505134	-0.149659373673641	-0.262784386987015	0.0856099278828185	0.0811470514684141	0.0734109407261269	-0.18047568177724	-0.345855522527761	-0.367745277415849
ZMO1_ZMO0931	.	perfect	-0.0649442564977235	-0.0467485178699832	-0.0505078895173168	0.0102770484257193	-0.139442422779136	-0.249717377642202	-0.0428314325178822	-0.0366579903531576	0.144956165318088
ZMO1_ZMO0932	zliS	perfect	0.0491660351214062	0.0357759172670616	-0.0815673721473413	-0.0262396718757463	-0.0176566678949249	-0.0610522567425645	-0.0633561860247133	-0.0189073774017587	-0.117428098826046
ZMO1_ZMO0934	zliE	perfect	-0.0610870246735685	-0.0512997680684091	0.124658912725745	0.0664791775243012	0.234583258749114	0.210530453371873	-0.100529116319791	-0.190031701458176	-0.126360609574429
ZMO1_ZMO0935	gstA	perfect	-0.0033276090131238	-0.119557933462645	-0.2863262026684	0.0190062698772885	-0.0764298736806758	0.0175514714173767	-0.0140294005237873	-0.083463938770985	-0.350140686875931
ZMO1_ZMO0936	.	perfect	-0.0340958882558122	-0.115957211955224	-0.122774681781691	-0.062494682847019	-0.144193401407253	-0.184154288132612	-0.021373941586149	-0.0476432254768978	0.0174504780877072
ZMO1_ZMO0937	.	perfect	-0.138271152829035	-0.345462145490616	-0.344760037519504	-0.0850559300878452	-0.344852915671541	-0.521097316122267	-0.0358523800239116	-0.029721165776808	0.115849275999623
ZMO1_ZMO0938	phoD	perfect	0.00447679944352274	0.00704713468267126	0.305361750780021	-0.053652798608385	-0.101186421757092	0.221429765230129	-0.0418042580656166	-0.0887446812908424	0.0091566975936354
ZMO1_ZMO0939	.	perfect	-0.00300821434325391	0.0289384313535561	0.138210560917803	0.0718190294897642	0.165963476157387	0.290061041842971	-0.135213953686033	-0.168104137649365	-0.178800639798267
ZMO1_ZMO0940	.	perfect	-0.0572587802048964	0.233740444053395	0.216503279626966	0.100877835570662	0.692271048112111	1.22883456874815	-0.163222134488477	-0.421896964370944	-0.949940291720937
ZMO1_ZMO0941	.	perfect	-0.065587888994065	-0.0651707095951545	-0.0239668334960575	0.0201267243257103	0.0486667699388448	0.0750577085561239	-0.272957577465568	-0.252303064492259	-0.255662507873191
ZMO1_ZMO0942	scrB	perfect	0.107698644196252	0.184175405263125	0.192886467908445	0.0312164553956191	0.0532349326246287	0.0787017769908253	0.06753725748747	0.204767996391605	0.339998202485266
ZMO1_ZMO0945	.	perfect	-0.0267564825253923	-0.636047379475679	-1.40155589644034	-0.0269923698428496	-0.653329186010103	-1.61260252785368	-0.0026921057891571	-0.0724210102328111	-0.0221258924765879
ZMO1_ZMO0946	tig	perfect	-0.741587563335514	-2.84513031552333	-4.16133735138813	-0.397467416812594	-1.67048874215751	-3.61607467883753	-0.373243198092422	-0.98067049418426	-0.691917643583517
ZMO1_ZMO0947	.	perfect	-0.710459256411453	-2.48773336376288	-3.75526713995682	-0.43478557301541	-1.48422982313005	-3.36729485518564	-0.446338147527447	-1.25492211665488	-0.787310439842549
ZMO1_ZMO0948	clpP	perfect	-0.677628111605532	-2.42794284123143	-3.11745320966839	-0.163313241276775	-0.720845776136587	-0.7399091662461	-0.593574955479075	-1.80735387038969	-2.50718954535773
ZMO1_ZMO0949	clpX	perfect	-0.424312918415459	-1.15517926525712	-1.15206366008679	-0.136926053584264	-0.21715769831968	0.117979187890149	-0.328290691990336	-1.00770486986855	-1.31417398989573
ZMO1_ZMO0950	.	perfect	-0.0661347896882056	-0.0612498278621745	0.0323634379859761	0.0194384483366708	0.127098064632651	0.0915305755930742	-0.227319015685582	-0.24507046504366	-0.427871445672735
ZMO1_ZMO0951	hemF	perfect	-0.0508971204610409	-0.0599759579522771	0.031889463852844	-0.0211223685708257	-0.0450367700229413	-0.156105785425961	-0.0471091998571779	0.062202690512711	0.616471496382177
ZMO1_ZMO0952	.	perfect	-0.0945735120924964	-0.0543667003875833	-0.0999320946676541	-0.0288582663409688	-0.0411596288610246	-0.091958287632043	-0.0520466446711164	-0.0485149319505317	-0.0797821755996332
ZMO1_ZMO0955		perfect	0.0233013879406503	0.245208670034678	0.257319022797295	0.0143045341906117	0.0952087541047445	0.0915842746223318	0.0207019775708949	0.242966144501242	0.252773842945134
ZMO1_ZMO0956	.	perfect	-0.0429391336250012	-0.18615471351871	-0.241109440110971	-0.0177603068021592	-0.0186653445597554	-0.291734829341519	-0.15825692412441	-0.261728347922289	0.0295326101955096
